2025-03-20 16:14:14,218 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 37
2025-03-20 16:14:14,218 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 38
2025-03-20 16:14:14,219 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 39
2025-03-20 16:14:18,227 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 40
2025-03-20 16:14:19,160 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 41
2025-03-20 16:14:19,161 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 42
2025-03-20 16:14:24,107 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 43
2025-03-20 16:14:24,108 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 44
2025-03-20 16:14:24,109 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 45
2025-03-20 16:14:29,158 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 46
2025-03-20 16:14:29,158 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 47
2025-03-20 16:14:29,159 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 48
2025-03-20 16:14:34,223 - TRADE EXIT - Type: SHORT, Entry Price: 19769.00, Exit Price: 19788.75, Result: SL Hit, Symbol: NQH5, Order ID: 49
